Entry,Status,Protein names,Interacts with,Organism,Mass,EC number
Q9NP58,reviewed,ATP-binding cassette sub-family B member 6 (ABC-type heme transporter ABCB6) (EC 7.6.2.5) (Mitochondrial ABC transporter 3) (Mt-ABC transporter 3) (P-glycoprotein-related protein) (Ubiquitously-expressed mammalian ABC half transporter),,Homo sapiens (Human),"93,886",7.6.2.5
O75027,reviewed,"Iron-sulfur clusters transporter ABCB7, mitochondrial (ATP-binding cassette sub-family B member 7, mitochondrial) (ATP-binding cassette transporter 7) (ABC transporter 7 protein)",,Homo sapiens (Human),"82,641",
P33527,reviewed,Multidrug resistance-associated protein 1 (EC 7.6.2.2) (ATP-binding cassette sub-family C member 1) (Glutathione-S-conjugate-translocating ATPase ABCC1) (EC 7.6.2.3) (Leukotriene C(4) transporter) (LTC4 transporter),,Homo sapiens (Human),"171,591",7.6.2.2; 7.6.2.3
Q5T3U5,reviewed,ATP-binding cassette sub-family C member 10 (EC 7.6.2.2) (EC 7.6.2.3) (Multidrug resistance-associated protein 7),,Homo sapiens (Human),"161,629",7.6.2.2; 7.6.2.3
Q96J66,reviewed,ATP-binding cassette sub-family C member 11 (EC 7.6.2.2) (EC 7.6.2.3) (Multidrug resistance-associated protein 8),,Homo sapiens (Human),"154,301",7.6.2.2; 7.6.2.3
Q92887,reviewed,ATP-binding cassette sub-family C member 2 (EC 7.6.2.-) (EC 7.6.2.2) (EC 7.6.2.3) (Canalicular multidrug resistance protein) (Canalicular multispecific organic anion transporter 1) (Multidrug resistance-associated protein 2),P19838,Homo sapiens (Human),"174,207",7.6.2.-; 7.6.2.2; 7.6.2.3
O15438,reviewed,ATP-binding cassette sub-family C member 3 (EC 7.6.2.-) (EC 7.6.2.2) (EC 7.6.2.3) (Canalicular multispecific organic anion transporter 2) (Multi-specific organic anion transporter D) (MOAT-D) (Multidrug resistance-associated protein 3),,Homo sapiens (Human),"169,343",7.6.2.-; 7.6.2.2; 7.6.2.3
O15439,reviewed,ATP-binding cassette sub-family C member 4 (EC 7.6.2.-) (EC 7.6.2.2) (EC 7.6.2.3) (MRP/cMOAT-related ABC transporter) (Multi-specific organic anion transporter B) (MOAT-B) (Multidrug resistance-associated protein 4),Q00013,Homo sapiens (Human),"149,527",7.6.2.-; 7.6.2.2; 7.6.2.3
O15440,reviewed,ATP-binding cassette sub-family C member 5 (EC 7.6.2.-) (EC 7.6.2.2) (Multi-specific organic anion transporter C) (MOAT-C) (Multidrug resistance-associated protein 5) (SMRP) (pABC11),,Homo sapiens (Human),"160,660",7.6.2.-; 7.6.2.2
O95255,reviewed,ATP-binding cassette sub-family C member 6 (EC 7.6.2.-) (EC 7.6.2.3) (Anthracycline resistance-associated protein) (Multi-specific organic anion transporter E) (MOAT-E) (Multidrug resistance-associated protein 6),,Homo sapiens (Human),"164,906",7.6.2.-; 7.6.2.3
Q09428,reviewed,ATP-binding cassette sub-family C member 8 (Sulfonylurea receptor 1),Q14654,Homo sapiens (Human),"176,992",
O60706,reviewed,ATP-binding cassette sub-family C member 9 (Sulfonylurea receptor 2),,Homo sapiens (Human),"174,223",
P45844,reviewed,ATP-binding cassette sub-family G member 1 (EC 7.6.2.-) (ATP-binding cassette transporter 8) (White protein homolog),Q9H172; Q13520; P13473-2; O75400-2; Q9Y371,Homo sapiens (Human),"75,592",7.6.2.-
Q9UNQ0,reviewed,Broad substrate specificity ATP-binding cassette transporter ABCG2 (EC 7.6.2.2) (ATP-binding cassette sub-family G member 2) (Breast cancer resistance protein) (CDw338) (Mitoxantrone resistance-associated protein) (Placenta-specific ATP-binding cassette transporter) (Urate exporter) (CD antigen CD338),Itself; P11309-2; P0CG48; Itself,Homo sapiens (Human),"72,314",7.6.2.2
Q9NUJ1,reviewed,"Palmitoyl-protein thioesterase ABHD10, mitochondrial (EC 3.1.2.22) (Acyl-protein thioesterase ABHD10) (Alpha/beta hydrolase domain-containing protein 10) (Abhydrolase domain-containing protein 10) (Mycophenolic acid acyl-glucuronide esterase, mitochondrial) (EC 3.1.1.93)",,Homo sapiens (Human),"33,933",3.1.2.22; 3.1.1.93
Q8NFV4,reviewed,Protein ABHD11 (EC 3.-.-.-) (Alpha/beta hydrolase domain-containing protein 11) (Abhydrolase domain-containing protein 11) (Williams-Beuren syndrome chromosomal region 21 protein),X5D778; P33240; Q6PKX4; Q86UW9; Q53EP0-3; P28676; O43593; Q99750; Q6PF18; Q9HBE1-4; P78337; O43741; O75360; P0CG20; Q9BVN2; Q8N6Y0; Q08AM6; O95231; A5D8V6; Q9NZC7-5; Q9BYJ9; Q15915,Homo sapiens (Human),"34,690",3.-.-.-
Q8N2K0,reviewed,Lysophosphatidylserine lipase ABHD12 (EC 3.1.-.-) (2-arachidonoylglycerol hydrolase ABHD12) (Abhydrolase domain-containing protein 12) (hABHD12) (Monoacylglycerol lipase ABHD12) (EC 3.1.1.23) (Oxidized phosphatidylserine lipase ABHD12) (EC 3.1.-.-),,Homo sapiens (Human),"45,097",3.1.-.-; 3.1.1.23
Q9BUJ0,reviewed,Protein ABHD14A (EC 3.-.-.-) (Alpha/beta hydrolase domain-containing protein 14A) (Abhydrolase domain-containing protein 14A),,Homo sapiens (Human),"29,765",3.-.-.-
Q96IU4,reviewed,Putative protein-lysine deacylase ABHD14B (EC 2.3.1.-) (Alpha/beta hydrolase domain-containing protein 14B) (Abhydrolase domain-containing protein 14B) (CCG1-interacting factor B),,Homo sapiens (Human),"22,346",2.3.1.-
O95870,reviewed,Phosphatidylserine lipase ABHD16A (EC 3.1.-.-) (Alpha/beta hydrolase domain-containing protein 16A) (Abhydrolase domain-containing protein 16A) (HLA-B-associated transcript 5) (hBAT5) (Monoacylglycerol lipase ABHD16A) (EC 3.1.1.23) (Protein G5),Q9NRZ7; Q13520; Q6P5T0; P18859; O95415; Q8N350-4; Q9UHD4; P05177; Q86UW9; Q15125; Q9Y282; P14324; Q9Y680; Q8TB36; P36382; Q6ZVE7; Q5T7V8; Q8TDT2; P04921; Q7Z5P4; Q01628; P11215; P01374; Q96FX8; Q99640-2; Q07864; O60831; Q86VR2; Q6NTF9-3; O75783; Q99942; O75396; O75920; Q14973; Q9BRI3; Q9UHI5; Q9NPE6; Q9H169-2; P61266; Q96DZ7; Q8IV31; Q96AN5; Q9BVK8; Q9NUH8; Q96Q45-2; Q6PI78; O60636; Q86WB7-2; O95183; Q3ZAQ7; Q9NX94; P0DTC6,Homo sapiens (Human),"63,243",3.1.-.-; 3.1.1.23
Q8TB40,reviewed,(Lyso)-N-acylphosphatidylethanolamine lipase (EC 3.1.1.-) (Alpha/beta hydrolase domain-containing protein 4) (Abhydrolase domain-containing protein 4) (Alpha/beta-hydrolase 4),Q9NWT8; Q12982; Q96DZ9-2; P29400-2; Q9BUN8; Q6ZPD8; Q9BUP3-3; P24593; Q9Y5U4; O60664; Q9UI14; Q00765,Homo sapiens (Human),"38,794",3.1.1.-
Q8WTS1,reviewed,1-acylglycerol-3-phosphate O-acyltransferase ABHD5 (EC 2.3.1.51) (Abhydrolase domain-containing protein 5) (Lipid droplet-binding protein CGI-58),Q5T4B2; P51793; Q8NI60; Q6ZPD8; Q05329; O00258; P48058-2; Q9NQG6; A6NKB5-5; Q99541; O60664; Q00G26; Q8N0V3; Q9Y225-2; Q9BVN2; Q9Y371; Q8N4M1-3; Q9NUH8; O43399; Q6PEW1,Homo sapiens (Human),"39,096",2.3.1.51
Q9BV23,reviewed,Monoacylglycerol lipase ABHD6 (EC 3.1.1.23) (2-arachidonoylglycerol hydrolase) (Abhydrolase domain-containing protein 6),Q9Y3D6; Q5QGT7; Q969E2; Q9NYZ1,Homo sapiens (Human),"38,331",3.1.1.23
P00519,reviewed,Tyrosine-protein kinase ABL1 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150),Q8IZP0; Q9NYB9; O14672; P10275; Q13315; Q4KMG0; P46108; P46109; P35222; P00533; P04626; Q03468; Q14315; P36888; P05107; P10721; Q38SD2; Q92918; Q7Z434; O43196; P15941; P16333; O43900; Q13905; Q86UR5; Q13671; P31947; Q15464; O75751; P37840; Q9BX66; O60504-2; Q07890; P12931; P51692; Q9Y4G6; P11387; P15498; P61981; P63104; O35158; P37840; P48165; Q15323; P37840,Homo sapiens (Human),"122,873",2.7.10.2
P42684,reviewed,Tyrosine-protein kinase ABL2 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 2) (Abelson tyrosine-protein kinase 2) (Abelson-related gene protein) (Tyrosine-protein kinase ARG),Q8IZP0; P46108; P00533; P04626; P21860; Q15303; P36888; P06241; P62993; P10721; P16333; P27986; P19174; Q13671; Q15637; P12931; Q9NYB9-2; Q15642-2,Homo sapiens (Human),"128,343",2.7.10.2
Q8N0Z2,reviewed,Actin-binding Rho-activating protein (Striated muscle activator of Rho-dependent signaling) (STARS),Q6NYC8,Homo sapiens (Human),"43,117",
Q9ULW3,reviewed,Activator of basal transcription 1 (hABT1) (Basal transcriptional activator),Q96JN2-2; Q96GN5; Q8NHQ1; Q92997; P50402; Q8IZU0; P42858; Q63ZY3; Q9BRK4; Q8N8X9; Q9NRD5; Q2KHN1; Q8N205; Q9H2G4,Homo sapiens (Human),"31,079",
P09110,reviewed,"3-ketoacyl-CoA thiolase, peroxisomal (EC 2.3.1.16) (Acetyl-CoA C-myristoyltransferase) (EC 2.3.1.155) (Acetyl-CoA acyltransferase) (EC 2.3.1.9) (Beta-ketothiolase) (Peroxisomal 3-oxoacyl-CoA thiolase)",Q9BSK4; Q12800,Homo sapiens (Human),"44,292",2.3.1.16; 2.3.1.155; 2.3.1.9
P42765,reviewed,"3-ketoacyl-CoA thiolase, mitochondrial (EC 2.3.1.16) (Acetyl-CoA acetyltransferase) (EC 2.3.1.9) (Acetyl-CoA acyltransferase) (Acyl-CoA hydrolase, mitochondrial) (EC 3.1.2.-) (EC 3.1.2.1) (EC 3.1.2.2) (Beta-ketothiolase) (Mitochondrial 3-oxoacyl-CoA thiolase) (T1)",,Homo sapiens (Human),"41,924",2.3.1.16; 2.3.1.9; 3.1.2.-; 3.1.2.1; 3.1.2.2
Q13085,reviewed,Acetyl-CoA carboxylase 1 (ACC1) (EC 6.4.1.2) (Acetyl-Coenzyme A carboxylase alpha) (ACC-alpha),Itself; O60218; P38398; Q96EB6; Q9CQ20; P02654; Q92915-2; Q6NTF9-3,Homo sapiens (Human),"265,554",6.4.1.2
O00763,reviewed,Acetyl-CoA carboxylase 2 (EC 6.4.1.2) (ACC-beta),Itself; P50747; Q9CQ20,Homo sapiens (Human),"276,541",6.4.1.2
P11310,reviewed,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial (MCAD) (EC 1.3.8.7) (Medium chain acyl-CoA dehydrogenase) (MCADH)",,Homo sapiens (Human),"46,588",1.3.8.7
P45954,reviewed,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial (SBCAD) (EC 1.3.8.5) (2-methyl branched chain acyl-CoA dehydrogenase) (2-MEBCAD) (2-methylbutyryl-coenzyme A dehydrogenase) (2-methylbutyryl-CoA dehydrogenase)",,Homo sapiens (Human),"47,485",1.3.8.5
P49748,reviewed,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial (VLCAD) (EC 1.3.8.9)",Q53T94,Homo sapiens (Human),"70,390",1.3.8.9
P16112,reviewed,Aggrecan core protein (Cartilage-specific proteoglycan core protein) (CSPCP) (Chondroitin sulfate proteoglycan core protein 1) (Chondroitin sulfate proteoglycan 1) [Cleaved into: Aggrecan core protein 2],P05067,Homo sapiens (Human),"261,329",
P24752,reviewed,"Acetyl-CoA acetyltransferase, mitochondrial (EC 2.3.1.9) (Acetoacetyl-CoA thiolase) (T2)",,Homo sapiens (Human),"45,200",2.3.1.9
Q96QU6,reviewed,1-aminocyclopropane-1-carboxylate synthase-like protein 1 (ACC synthase-like protein 1),Itself; P14927,Homo sapiens (Human),"57,324",
Q4AC99,reviewed,Probable inactive 1-aminocyclopropane-1-carboxylate synthase-like protein 2 (ACC synthase-like protein 2),,Homo sapiens (Human),"65,249",
P12821,reviewed,"Angiotensin-converting enzyme (ACE) (EC 3.2.1.-) (EC 3.4.15.1) (Dipeptidyl carboxypeptidase I) (Kininase II) (CD antigen CD143) [Cleaved into: Angiotensin-converting enzyme, soluble form]",P05556,Homo sapiens (Human),"149,715",3.2.1.-; 3.4.15.1
Q9BYF1,reviewed,Angiotensin-converting enzyme 2 (EC 3.4.17.23) (Angiotensin-converting enzyme homolog) (ACEH) (Angiotensin-converting enzyme-related carboxypeptidase) (ACE-related carboxypeptidase) (EC 3.4.17.-) (Metalloprotease MPROT15) [Cleaved into: Processed angiotensin-converting enzyme 2],Itself; P01019; P01019; Q96CW1; P05067; Q9H2X3; Q01523; Q14416; P11021; P05556; O60341; P01042; P30990; Q5T2W1; P35247; Q9Y566; Q695T7; O14745; Q96L92; O15393; P52293; A0A6B9WHD3; A0A6G6A1M4; A0A6M3G9R1; P0DTC2; P0DTC2; P59594; P59594; Q5GDB5; Q6Q1S2,Homo sapiens (Human),"92,463",3.4.17.23; 3.4.17.-
P22303,reviewed,Acetylcholinesterase (AChE) (EC 3.1.1.7),Q9Y215; P06733; P63244,Homo sapiens (Human),"67,796",3.1.1.7
P25106,reviewed,Atypical chemokine receptor 3 (C-X-C chemokine receptor type 7) (CXC-R7) (CXCR-7) (Chemokine orphan receptor 1) (G-protein coupled receptor 159) (G-protein coupled receptor RDC1 homolog) (RDC-1),P37288; P61073,Homo sapiens (Human),"41,493",
P53396,reviewed,ATP-citrate synthase (EC 2.3.3.8) (ATP-citrate (pro-S-)-lyase) (ACL) (Citrate cleavage enzyme),,Homo sapiens (Human),"120,839",2.3.3.8
Q8TDX5,reviewed,2-amino-3-carboxymuconate-6-semialdehyde decarboxylase (EC 4.1.1.45) (Picolinate carboxylase),P43364-2; Q9Y4H4; Q8N6Y0,Homo sapiens (Human),"38,035",4.1.1.45
P21399,reviewed,Cytoplasmic aconitate hydratase (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase) (Ferritin repressor protein) (Iron regulatory protein 1) (IRP1) (Iron-responsive element-binding protein 1) (IRE-BP 1),,Homo sapiens (Human),"98,399",4.2.1.3
Q99798,reviewed,"Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase)",,Homo sapiens (Human),"85,425",4.2.1.3
Q15067,reviewed,"Peroxisomal acyl-coenzyme A oxidase 1 (AOX) (EC 1.3.3.6) (Palmitoyl-CoA oxidase) (Peroxisomal fatty acyl-CoA oxidase) (Straight-chain acyl-CoA oxidase) (SCOX) [Cleaved into: Peroxisomal acyl-CoA oxidase 1, A chain; Peroxisomal acyl-CoA oxidase 1, B chain; Peroxisomal acyl-CoA oxidase 1, C chain]",,Homo sapiens (Human),"74,424",1.3.3.6
P24666,reviewed,Low molecular weight phosphotyrosine protein phosphatase (LMW-PTP) (LMW-PTPase) (EC 3.1.3.48) (Adipocyte acid phosphatase) (Low molecular weight cytosolic acid phosphatase) (EC 3.1.3.2) (Red cell acid phosphatase 1),Q96CV9,Homo sapiens (Human),"18,042",3.1.3.48; 3.1.3.2
P13686,reviewed,Tartrate-resistant acid phosphatase type 5 (TR-AP) (EC 3.1.3.2) (Tartrate-resistant acid ATPase) (TrATPase) (Type 5 acid phosphatase),,Homo sapiens (Human),"36,599",3.1.3.2
P10323,reviewed,Acrosin (EC 3.4.21.10) [Cleaved into: Acrosin light chain; Acrosin heavy chain],Q05996; P21754; Q12836,Homo sapiens (Human),"45,847",3.4.21.10
P33121,reviewed,Long-chain-fatty-acid--CoA ligase 1 (EC 6.2.1.3) (Acyl-CoA synthetase 1) (ACS1) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 1) (LACS 1) (Long-chain acyl-CoA synthetase 2) (LACS 2) (Long-chain fatty acid-CoA ligase 2) (Palmitoyl-CoA ligase 1) (Palmitoyl-CoA ligase 2) (Phytanate--CoA ligase) (EC 6.2.1.24),,Homo sapiens (Human),"77,943",6.2.1.3; 6.2.1.15; 6.2.1.24
O95573,reviewed,Fatty acid CoA ligase Acsl3 (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 3) (LACS 3) (Long-chain-fatty-acid--CoA ligase 3) (EC 6.2.1.3) (Medium-chain acyl-CoA ligase Acsl3) (EC 6.2.1.2),P56962,Homo sapiens (Human),"80,420",6.2.1.15; 6.2.1.3; 6.2.1.2
O60488,reviewed,Long-chain-fatty-acid--CoA ligase 4 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 4) (LACS 4),,Homo sapiens (Human),"79,188",6.2.1.3; 6.2.1.15
Q08AH1,reviewed,"Acyl-coenzyme A synthetase ACSM1, mitochondrial (EC 6.2.1.2) (Acyl-CoA synthetase medium-chain family member 1) (Benzoate--CoA ligase) (EC 6.2.1.25) (Butyrate--CoA ligase 1) (Butyryl-coenzyme A synthetase 1) (Lipoate-activating enzyme) (Middle-chain acyl-CoA synthetase 1) (Xenobiotic/medium-chain fatty acid-CoA ligase HXM-B)",Q96DZ9-2; P43356; Q5JR59-3; Q9H4L5,Homo sapiens (Human),"65,273",6.2.1.2; 6.2.1.25
Q9NUB1,reviewed,"Acetyl-coenzyme A synthetase 2-like, mitochondrial (EC 6.2.1.1) (Acetate--CoA ligase 2) (Acetyl-CoA synthetase 2) (AceCS2) (Acyl-CoA synthetase short-chain family member 1) (Propionate--CoA ligase) (EC 6.2.1.17)",Q6FHY5; Q08AM6,Homo sapiens (Human),"74,857",6.2.1.1; 6.2.1.17
Q9NR19,reviewed,"Acetyl-coenzyme A synthetase, cytoplasmic (EC 6.2.1.1) (Acetate--CoA ligase) (Acetyl-CoA synthetase) (ACS) (AceCS) (Acetyl-CoA synthetase 1) (AceCS1) (Acyl-CoA synthetase short-chain family member 2) (Acyl-activating enzyme) (Propionate--CoA ligase) (EC 6.2.1.17)",,Homo sapiens (Human),"78,580",6.2.1.1; 6.2.1.17
P68133,reviewed,"Actin, alpha skeletal muscle (Alpha-actin-1) [Cleaved into: Actin, alpha skeletal muscle, intermediate form]",Q6XD76; Q9UQM7; Q0VD86; Q6ZQX7-4; Q96PV4; Q9H7C4; P17024,Homo sapiens (Human),"42,051",
P62736,reviewed,"Actin, aortic smooth muscle (Alpha-actin-2) (Cell growth-inhibiting gene 46 protein) [Cleaved into: Actin, aortic smooth muscle, intermediate form]",,Homo sapiens (Human),"42,009",
P60709,reviewed,"Actin, cytoplasmic 1 (Beta-actin) [Cleaved into: Actin, cytoplasmic 1, N-terminally processed]",Itself; P63261; P05067; P40123; Q16543; P23528; Q549N0; Q9Y281; P13569; P60981; Q8WTR2; Q08426; P50402; P04626; Q8TCJ0-2; P11142; P83110; P42858; O14950; P14598; P29474; Q92636; Q96HA8; P07737; P78317; P37802; Q9BSI4; P13693; Q7KZS0; Q9UBQ0-2; P63104; P08413; Q8K4J6,Homo sapiens (Human),"41,737",
Q562R1,reviewed,Beta-actin-like protein 2 (Kappa-actin),Q8IW35,Homo sapiens (Human),"42,003",
P68032,reviewed,"Actin, alpha cardiac muscle 1 (Alpha-cardiac actin) [Cleaved into: Actin, alpha cardiac muscle 1, intermediate form]",,Homo sapiens (Human),"42,019",
P63267,reviewed,"Actin, gamma-enteric smooth muscle (Alpha-actin-3) (Gamma-2-actin) (Smooth muscle gamma-actin) [Cleaved into: Actin, gamma-enteric smooth muscle, intermediate form]",,Homo sapiens (Human),"41,877",
Q5JWF8,reviewed,Actin-like protein 10,,Homo sapiens (Human),"26,751",
O96019,reviewed,Actin-like protein 6A (53 kDa BRG1-associated factor A) (Actin-related protein Baf53a) (ArpNbeta) (BRG1-associated factor 53A) (BAF53A) (INO80 complex subunit K),P25490,Homo sapiens (Human),"47,461",
O94805,reviewed,Actin-like protein 6B (53 kDa BRG1-associated factor B) (Actin-related protein Baf53b) (ArpNalpha) (BRG1-associated factor 53B) (BAF53B),,Homo sapiens (Human),"46,877",
Q9Y615,reviewed,Actin-like protein 7A (Actin-like-7-alpha),Q9UGI8,Homo sapiens (Human),"48,644",
Q9Y614,reviewed,Actin-like protein 7B (Actin-like-7-beta),P55212; O00291; P13473-2; P62826,Homo sapiens (Human),"45,234",
Q9H568,reviewed,Actin-like protein 8 (Cancer/testis antigen 57) (CT57),Q9Y5P4; Q9Y5P4-2,Homo sapiens (Human),"41,360",
Q8TC94,reviewed,Actin-like protein 9,,Homo sapiens (Human),"45,516",
Q9NZ32,reviewed,Actin-related protein 10 (Actin-related protein 11) (hARP11),Q9UJW0; Q15323; Q9UJ70,Homo sapiens (Human),"46,307",
P61163,reviewed,Alpha-centractin (Centractin) (ARP1) (Actin-RPV) (Centrosome-associated actin homolog),,Homo sapiens (Human),"42,614",
P42025,reviewed,Beta-centractin (Actin-related protein 1B) (ARP1B),Q14203; P42858; Q9QZB7,Homo sapiens (Human),"42,293",
P61160,reviewed,Actin-related protein 2 (Actin-like protein 2),,Homo sapiens (Human),"44,761",
P61158,reviewed,Actin-related protein 3 (Actin-like protein 3),Q96BI3-2; P05067; Q9ULD4-2; Q00535; Q9H3R5; P10809; P17535; Q9UNE7; P13051-2,Homo sapiens (Human),"47,371",
Q9P1U1,reviewed,Actin-related protein 3B (ARP3-beta) (Actin-like protein 3B) (Actin-related protein ARP4),,Homo sapiens (Human),"47,608",
Q9C0K3,reviewed,Actin-related protein 3C (Actin-related protein 11),,Homo sapiens (Human),"23,712",
Q9H981,reviewed,Actin-related protein 8 (hArp8) (INO80 complex subunit N),Q9H9F9; Q9Y5K5,Homo sapiens (Human),"70,484",
Q8TDG2,reviewed,Actin-related protein T1 (ARP-T1),,Homo sapiens (Human),"41,696",
Q8TDY3,reviewed,Actin-related protein T2 (ARP-T2) (Actin-related protein M2),,Homo sapiens (Human),"41,702",
Q9BYD9,reviewed,Actin-related protein T3 (ARP-T3) (Actin-related protein M1),,Homo sapiens (Human),"41,008",
Q04771,reviewed,Activin receptor type-1 (EC 2.7.11.30) (Activin receptor type I) (ACTR-I) (Activin receptor-like kinase 2) (ALK-2) (Serine/threonine-protein kinase receptor R1) (SKR1) (TGF-B superfamily receptor type I) (TSR-I),Q9UF33,Homo sapiens (Human),"57,153",2.7.11.30
P36896,reviewed,Activin receptor type-1B (EC 2.7.11.30) (Activin receptor type IB) (ACTR-IB) (Activin receptor-like kinase 4) (ALK-4) (Serine/threonine-protein kinase receptor R2) (SKR2),P62942; P08238; O15105; P27040,Homo sapiens (Human),"56,807",2.7.11.30
Q8NER5,reviewed,Activin receptor type-1C (EC 2.7.11.30) (Activin receptor type IC) (ACTR-IC) (Activin receptor-like kinase 7) (ALK-7),,Homo sapiens (Human),"54,871",2.7.11.30
P37023,reviewed,Serine/threonine-protein kinase receptor R3 (SKR3) (EC 2.7.11.30) (Activin receptor-like kinase 1) (ALK-1) (TGF-B superfamily receptor type I) (TSR-I),Q9UK05; P02750,Homo sapiens (Human),"56,124",2.7.11.30
Q03154,reviewed,Aminoacylase-1 (ACY-1) (EC 3.5.1.14) (N-acyl-L-amino-acid amidohydrolase),Itself; O75934; Q96HA8; P36639-2; P0CG20; Q96A09; P54274; O43711; Q9NZC7-5,Homo sapiens (Human),"45,885",3.5.1.14
Q96HD9,reviewed,N-acyl-aromatic-L-amino acid amidohydrolase (carboxylate-forming) (EC 3.5.1.114) (Acylase III) (Aminoacylase-3) (ACY-3) (Aspartoacylase-2) (Hepatitis C virus core-binding protein 1) (HCBP1) (HCV core-binding protein 1),Q9H7C9; P84085; P45381; A8MQ03; Q96D03; Q9H8Y8; Q0VD86; P60410; Q3LI76; Q6PEX3; Q8TBB1; Q7Z3S9; O75928; Q9H8W4; O15305,Homo sapiens (Human),"35,241",3.5.1.114
P00813,reviewed,Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase),,Homo sapiens (Human),"40,764",3.5.4.4
Q9NZK5,reviewed,Adenosine deaminase 2 (EC 3.5.4.4) (Cat eye syndrome critical region protein 1),,Homo sapiens (Human),"58,934",3.5.4.4
Q6DHV7,reviewed,Adenosine deaminase-like protein (EC 3.5.4.-) (Adenosine deaminase-like protein isoform 1) (N6-mAMP deaminase) (HsMAPDA) (N6-methyl-AMP aminohydrolase),P55212; P06307; P41091; O75460-2; Q0VDC6; P30519; P54652; P13473-2; Q14696; P16284; P05771-2; O75400-2; P62826; P49591; P31948; P61086; P08670,Homo sapiens (Human),"40,264",3.5.4.-
